a1b54020d1b2f48977d46091cac952aa	去冰						
e35f3022eefda37de91407baed2a275f	少冰						
cdb8ccee4acf706919221507c09b51b2	正常冰						
2fb8407824498a8128949c92d32f9b3d	多冰						
f63faa3c5c26ccee1404de473153ffdd	溫的						
18d70fe99b132f69ab6ca2211a2b8abd	熱的						
f6a6ffe1fbd179bca67d5a1f60085c1b	無糖						
eb6f470a03b76fcd36a50b548089d65e	微糖						
b5ce79bc99197d992854daeb5b766bb3	半糖						
c8d92eab81f8e67e7b4df58bb7aaffdf	少糖						
d54b2cbb70d608b45d712dc123dc127c	正常糖						
5244c9ceedd14e01ec1dc7e7b8bab12e	多糖						